d,betaprime,total cost,preprocessing,single enum,probability
60,2,190245051,729000,2124151,0.010641256187029133
61,2,378046853,753571,2469490,0.006063250205561658
62,2,478203997,804357,2613624,0.005085718763975646
63,2,990026489,830584,3166538,0.0028759275749251994
64,2,1261444100,884736,3161889,0.0022857603827191324
65,2,2697146243,912673,3722649,0.001225213595864925
66,2,3529983277,970299,4059954,0.0010160126169746256
67,2,7706828069,1000000,4621508,0.0005201956998748786
68,2,10247925617,1061208,4996194,0.0004215620344478916
69,7,20251043021,3574993,15503139,0.0006718079589866742
70,12,18781198824,5165593,19943573,0.0009532449153788897
71,17,22223907887,8020575,29248018,0.0011955436214600886
72,22,11817682850,13948010,38852733,0.0031821334751077363
73,27,14580050023,21528939,59578229,0.003960421437416386
74,31,9592866006,30498142,74445351,0.007773493650417672
75,36,9115737261,48202758,98981375,0.011451783310377215
76,41,6505057620,82863994,148898072,0.025094968047358238
77,46,4626884018,234501943,307445709,0.08015930768934744
78,48,5856881515,433398896,508529549,0.10838775578476444
79,48,9603878418,439314647,578418611,0.07280784675655393
80,48,12247275794,451152540,602164980,0.05950703238596045
81,50,20565200851,854512409,1085230855,0.06507065942391031
82,50,26443548888,877300272,1154048563,0.05332396033328564
83,52,44829496999,1728213495,2196259092,0.060538288706986465
84,52,57627764449,1773803136,2360471212,0.04988898700893244
85,54,96728239103,3651730656,4550152027,0.05869410203551327
86,54,125715031290,3747018059,4795396476,0.04731652740306397
87,56,215942514935,8052209829,9854740395,0.05743864707661985
88,56,281044195624,8260036153,10448475248,0.04637634533142179
89,56,484501878260,8363952870,11870847984,0.02935301943535589
90,58,633142818121,19117290039,23747238301,0.04714700592763515
91,58,1087727165468,19355265113,27560902918,0.03029988703749781
92,58,1441395195913,19831222623,28728656034,0.023745920092788888
93,60,2528376860744,46923061965,64433755985,0.03092951763833135
94,60,3369071170936,48064885079,67701653861,0.024213839573483956
95,62,5893728872911,119173229564,157937360809,0.03298395759426573
96,62,7924797963049,122042821633,168797854277,0.02584026913158669
97,62,14092451299226,123477621546,186741592591,0.015580426085755782
98,64,19311363727785,325259202765,434273673377,0.02766674356633084
99,64,34337534274121,329043730873,489730966533,0.016865899966386388
100,64,47211422349777,336612795097,512084109892,0.012741674579851594
101,66,84112904045784,929987545406,1323258756271,0.01892804135201456
102,66,116155836321099,951167860948,1427370843630,0.014501191804735119
103,71,135779341345861,5801228211697,6230319343166,0.061254312425666486
104,76,22374659437503,1983523590440,1837574867754,0.11469621331687808
105,78,19562739356404,1841842197574,1677235785243,0.12043006989444806
106,78,24034129589732,1876983936020,1775455438760,0.10273763872915842
107,78,37092320006395,1894554809526,1969507008263,0.07161859671805906
108,78,46182503504162,1929696565197,2072824472091,0.05995189984154753
109,78,74282186156656,1947267447398,2278658208040,0.039770145277007646
110,78,93690908651256,1982409220619,2365048993150,0.03255911620823183
111,80,152168271142221,3679114009244,4295573964853,0.036694377794377814
112,82,190806179250248,7482779218787,7908349439682,0.0559172212791761
113,82,307838517643552,7562110120981,8733084452440,0.03705658335504935
114,84,388116243429102,16008562686882,16239967088105,0.05754975577064708
115,84,625347692295554,16181446244939,18139444292257,0.038394221177592565
116,84,808195696917644,16527213370359,20819982541621,0.032426913757885714
117,86,1299429989159201,35200960408990,38829451898504,0.03982582470327446
118,86,1670980149115954,35955251154307,41071737908697,0.03234843664137595
119,88,2707108188783518,79007940845635,83939006073675,0.042029350254108866
120,88,3468989966828830,80694206596120,91119292759065,0.03471421747482907
121,88,5658448093652296,81537339476214,104107972231320,0.023132206178888667
122,88,7410578715029029,83223605246194,107057786553223,0.018149950554106353
123,90,12128230897820390,185025218595711,223641788441427,0.02375011251089102
124,90,15941608822259812,188824076120491,237688442141295,0.018904468503938014
125,90,26866439981731800,190723504887895,258789714489563,0.011864400359767682
126,90,35323563049253580,194522362432817,267960406482208,0.009296235881854697
127,94,58726017765219456,1002051154182940,1145939196123334,0.02575436957785206
128,94,77075287539093696,1022265581865221,1194256716306627,0.020305444966180187
129,96,128124715086606352,2379330445698788,2631035438848703,0.027510324140023433
130,96,167686040647307552,2426879234154538,2805124828032752,0.02201149792958849
131,96,281160394561187232,2450653628387670,3063936643781372,0.01389399212432989
132,98,363192204422465792,5966834803587998,6537314808669282,0.024260409022640192
133,98,606377748008843264,6024768895125974,7340924317999765,0.015600588317368274
134,98,806420806533683584,6140637078212692,7675220504387676,0.012146959786562824
135,103,1178494074468579584,41752681181423024,39351165134094824,0.047907104014944225
136,106,322222594956358784,8690165486976190,8619546833300057,0.03759600835512602
