d,betaprime,total cost,preprocessing,single enum,probability
289,236,14976450041596913658242588078701442392769184137216,837874558218340387352553735321852837888,2779466541714174728569357079252161265664,1.7229916706976543e-10
290,236,21055714358279356753574983673344708537409712685056,852894958571159346940599355532914982912,2889424077443968815765349205655519494144,1.267866204465368e-10
291,236,41814736687057068140520255200650528229598594859008,867915358923978306528644975743977127936,3024986195515107670072145633409658519552,6.641201421566008e-11
292,236,60798706571132808035424208243392126674509368393728,882935759276797266116690595955039272960,3166124571142425410313979265686381264896,4.750753585959412e-11
293,238,125242589856796711645012646947223085276276088373248,2375695230802141661301893484178489475072,8442117775711137237713546976001253179392,6.161550718378974e-11
294,240,179581438642118743865586518462840783378137141477376,6393852344820194727041043429085105094656,22048588199639626628188086984015886680064,1.1298167519773428e-10
295,240,377290718689989061563694699476596848195172929896448,6506560995770316363628871291751867875328,22298450994856373027612172858627576561664,5.4462119144115194e-11
296,241,542552292619067757814652229973477616327293988241408,12948415631636557035221507488016945381376,43375127900000903152469599299534028013568,7.405441652032076e-11
297,242,1094631398632351892322383958944291181508855729225728,17905831813137186375135013071781214814208,61998462831562292776102508594005977071616,5.207206708619586e-11
298,242,1524907844978205525952459884986860312304364902416384,18216055340006062992670262052463749103616,64296071319986389108623912120189290807296,3.8599064523234884e-11
299,244,3181688841492566360610020131084216871467992869765120,48351155646348201419830268305239586111488,165122273469289017902898091184859685847040,4.786176596997985e-11
300,244,4587080648311841851769035880032761133175125422637056,49188592433227256415017332483610424377344,170541741334818308484585492057262189969408,3.417088579240939e-11
301,244,9649406112620573862626336585795077360978714261716992,50026029220106311410204396661981262643200,178632829727908290867768337517719398121472,1.6904021811045775e-11
302,248,14207586944088816218041414105465474962436562039603200,359458260248483292692865449072358429032448,1204190241445040521175572473932077451968512,7.850935473480515e-11
303,250,28497654346349094382789819141052745274025774703181824,968315970728382098693618569257947989278720,3178996132238400143453793007294454798745600,1.0381502237111871e-10
304,250,41671446781356081058753605213751637663904357603606528,985697743573876449542974876255737159352320,3255343837939623118726194658630667499208704,7.259998800665709e-11
305,250,83921041422135441129811584742757664027042513709694976,1003079516419370800392331183253526329425920,3415736533911208526582051611896588173049856,3.7561044054963676e-11
306,250,119725304317142211591453856621198543855003353885966336,1020461289264865151241687490251315499499520,3598742876184584165185430629554171370536960,2.752224178718873e-11
307,252,246667863475496285666334025139643110995545533402054656,2712747548540231688502972045839811659956224,9479115575455657224069950384237815024058368,3.525819727720835e-11
308,252,353359194418445523454720265823941090181838088064466944,2759733483289584413605172262163971257139200,9863721298041550433443292712438647324934144,2.548381418967829e-11
309,252,752814221577578377791053463120743046883470711789191168,2806719418038938376647411763868405753446400,9134866362114270656405207461315448059985920,1.131557910722251e-11
310,252,1072074734902541163112137095926233665831496493777813504,2853705352788291101749611980192565350629376,10313128055251777031438711760038004541882368,8.761104827397452e-12
311,256,2242937286827369512992183317041080370392395172936679424,21602683692206861254040539882008429100793856,73000742483590208364813127862661434407124992,3.0087931504215843e-11
312,256,3374023709472610610259704516391376841104734038463086592,21977143129224762694182530615650044614803456,73809193039062384819861282983347349348155392,2.0251538829829194e-11
313,256,6773859661081769572060573003805629870372070808803606528,22351602566242671561964757061573309523558400,79777116767026192048111775781669857449213952,1.0755095932033246e-11
314,256,9566573839352088963966745273052742043821176268978651136,22726062003260573002106747795214925037568000,83598332165624841433441138117206950763560960,7.928281946324257e-12
315,260,20344361490043078547453116483926662297466624385499529216,172679769994395785338679641685059522929885184,562311796938216192313867470034565655701749760,2.5771570767266906e-11
316,260,29315427525290369073395271713120869429032358379847155712,175673694510853586714134069694713777631526912,601096906391848224486334279369051934562451456,1.8901625111118964e-11
317,260,60214800545185302946683715678651021976718560745828122624,178667619027311170212141583477439650087305216,630400587595877996391290887933533810828771328,9.584831457575187e-12
318,260,86460990889331052305869726368982620677717564681145548800,181661543543769050815758525751431498332897280,625607752372381384736776093241503044232806400,6.6604078417732735e-12
319,262,183585889618697490062132328681604896607683725412599332864,499881377585569808720729077347593405704699904,1736759592268133603282928836727699836327952384,8.690796380779443e-12
320,262,263913345572375705208280407966567481738811847849617129472,508258761381189566024715536321105642653745152,1786804106400113019325530751489522884052779008,6.203486359690231e-12
321,262,562969691315791188163523886632132196340903672852806369280,516636145176809323328701995294617879602790400,1904440993282159556093864588688050595651649536,3.06779411378821e-12
322,264,813810667901762022363346159295355130587165310666015768576,1425857534557889393729614108713235976781037568,4897784109022099899282182442666274616873320448,5.54302030599221e-12
323,266,1665153444011728514507991212164305298623007150064193765376,3877268180089260424755141627160555826094014464,12998576053017677734632954434384486377237512192,7.229592945186909e-12
324,266,2463355428047517001701919673043123794212251563953957634048,3942225373808128636815559986618664029647798272,14537157380761875379948487490860471136997605376,5.351345350285244e-12
325,266,5140050447216514389647846986183016412722197075661917519872,4007182567526996848875978346076772233201582080,14871984014515055683863127559134249998576779264,2.6201010092799865e-12
326,266,7230871434773483810498782518978827662323264382687011405824,4072139761245865060936396705534880436755365888,15476472901723878409951513616397803499561156608,1.9285366607701075e-12
327,268,15694423823799243348573262925210797122897327238835007913984,11614548983720309425227527544032804774803931136,41825693582686433102794873400631547771888861184,2.428989523338624e-12
328,268,22683970903109878842757898203583642772942321658226230165504,11803035057729724751099469988698252058724139008,40842475155657575435766397363272644668654878720,1.6555597328328472e-12
329,268,46685156199308190747951835029227275769764104425128064974848,11991521131739140076971412433363699342644346880,44458688504801866163358769008119727692282068992,8.625600510567697e-13
