d,betaprime,total cost,preprocessing,single enum,probability
363,298,8658201164265786624085503838825197947819466216053248327606532571136,181528487468212133401091910583251259638556029171531776,750682173206238827534718842871164144479309905828773888,7.680491104951851e-14
364,298,12484920077317263264246997037784858075706030286954722034983997800448,184215065495643516162616782531969421006625547176902656,750921529578247489460949759709932455597748641771552768,5.3430825437001706e-14
365,299,27589799964884578472808897553792055567551748617823915268834223718400,377380415957753006814447100774571931764634872570707968,1510463743335562040443215579046783038962555513819103232,4.881127884493576e-14
366,300,38948654113075630839102454670832115321943647298107520841334445309952,530048761333676359176899208281405005583110820069376000,2036146044704058461055044753427704028249426938019446784,4.70002062675678e-14
367,302,87844233507824305317180715798945816950464672041426931288505537527808,1570436104746418907929193785559584320386903644940795904,5728433636317798533551394627769862659024246340788944896,5.927136823336808e-14
368,302,124782562727729079826950047856814731466092262084803507901393002299392,1593686650996304129636358969589293503635617532545597440,6003434618174345039232365908761221159138413336055513088,4.343079262908882e-14
369,302,282884176304560159574490805287258865280446486199040861200462303461376,1616937197246189351343524153619002686884331420150398976,8433575667584028864993315623313260420675527308654673920,2.5344408863359914e-14
370,302,387423756602758150166467433236998364897999168614221344848985651675136,1640187743496074573050689337648711870133045307755200512,6627681524413466619962583100523703007711494772256407552,1.5223340114623148e-14
371,302,844417722774953056917697333237727014013443570140351917386977918320640,1663438289745959794757854521678421053381759195360002048,7368358499177089580984724732561648769386411165864689664,7.62990999944629e-15
372,304,1227505773111456084777006260121647829506998971694662227425102552629248,4624244757181324863347810372564234268913912256575569920,18349610273374459601706626000400535050662839094419128320,1.3350973387782138e-14
373,304,2740931313075276592739880879547828237356340869342183215612517735727104,4689722891572226995753009139270284216217931312518922240,17222802462856974414704350039486915386604816987118895104,5.7029147100939535e-15
374,304,3907581590304510911637639277263561935577265071306207752584044497338368,4755201025963129128158207905976334163521950368462274560,21363320543575654607175152258469414881245850976686964736,4.768075599338583e-15
375,304,8536143360840448502965704121523009099904310080211351362406126727462912,4820679160354031260563406672682384110825969424405626880,21335466847197457763083596484901951365559158300676718592,2.1858212817030713e-15
376,306,12770301005829206043115719526006309090122600063212515676752744191885312,15089439006444112302832270582965431137128397750006710272,65999083897449225658759575134770081298861919501283229696,4.5296104371570705e-15
377,307,28360857082985027341271198217860726673142047015898275910185860443668480,30059331094979547577325331500305213727995506592590069760,127552072228299562640299602479036172044629640025550618624,3.9643398843656226e-15
378,308,41892911779394054149192307267852056493552626578384690698045469967253504,45410602715440109990968830705132601377942899362287845376,210670173044694309933293871107537011127043361654603513856,4.360527471521291e-15
379,308,94887659820631217817925126771838646623553073818084186420640328707997696,46036989755891329991714435427053002746673681522164236288,284003787518229656236078355665219394419455268501579628544,2.481192516587865e-15
380,308,129307582349739195324228583576378822318344466496658245376442692253253632,46663376796342549992460040148973404115404463682040627200,207141872489361549270521893499197866130380869700583161856,1.400164961950772e-15
381,308,287639289366564111118275308803181218828337559274219679565052281542934528,47289763836793769993205644870893805484135245841917018112,173169196552617354315484335227169500999867881310830723072,5.467416326249957e-16
382,308,440655020223059166334721583587818081386443262474853679025007695931375616,47916150877244989993951249592814206852866028001793409024,216689034216834163473169525335420228699424629864582348800,4.2835340676048346e-16
383,308,1005278681979669289792283106167290895545035946388324917488567517481795584,48542537917696209994696854314734608221596810161669799936,284877683410804572248452602823944258913247825297890344960,2.3659636055584397e-16
384,308,1440146218634792631300536362414298659036362737540910792662662905260408832,49168924958147413661888846831608763348346435596672040960,229302173556827915280189357887828233350161490356698349568,1.379355264988875e-16
385,308,3053196341634841457891388302679636965416941190764848904120475866468712448,49795311998598639107152322288544580131070936664839815168,240720856336089830229551040009925949403315846235547500544,6.787630172423621e-17
386,308,4563842631600275824539709010337073066967397988254142715639561697257062400,50421699039049853663380056275449566085807999916424822784,247264992919381762714907379468806697586510155442013863936,4.6529818285320686e-17
387,308,10872738124647970218619519134104534795727893358639728363142339511143366656,51048086079501079108643531732385382868532500984592596992,236482467924982518522245091806986066976885646270192943104,1.886460301986576e-17
388,314,17363794212386231191345587587788240140810847357550391107895409064544305152,1302380789463958567393646585486775884001644188935573733376,5194914539245241447747897066799494067873714528959858737152,2.669258134224649e-16
389,314,37336078299661639179512001657976256237028947487765439997271185309317464064,1319394557986226755480358493910161871833448158361162874880,6408606037952647238413795435636472832320575103960373788672,1.4765258189101067e-16
390,318,53761888665372060525702032016525358502001262362325094662610782902990929920,11382784290517216382371310727964716636819079305758190338048,57304840786666777036390318712526414103848185336479833128960,9.113948721622617e-16
391,318,114788830611853403609415204929988573556847852359675282262037932324786536448,11535440873959724946045851694768713949617554677066333421568,44814318285536879626914495659735690573825434590025965633536,3.5018297654996905e-16
392,318,172277686715781678533189549742522049056466459717376513745292910841447841792,11688097457402233509720392661572711262416030048374476505088,48062131139350908314749900339565620932308328250827346018304,2.4740765726942063e-16
393,320,373078571953394152683065094693094864468257531535117908900593977646362132480,34865813224883256105830989149188784894678151507627978260480,146414054487178514048101696171354173494189762103130730790912,3.466186026974376e-16
394,320,572525401820680481047258398425911658175378002627340755885935147903178768384,35327363777928762049721420247674574880707720536932996874240,172130918052093305250997923036461980373106440319936413827072,2.5848694505444747e-16
395,322,1213886074232853891764070328745148199739508530654121501010997056198655606784,105495121340335434021776539269111080195172390518719416107008,462880449304314054588953582039802244628562824773274553024512,3.3401046292411385e-16
396,322,1802619104067191735964153129660093006657440464835548406169684709244305145856,106891499798069074047701782926173225700947895952633151619072,444126894379220559146555203832359468080102608966525359489024,2.1805433483863643e-16
397,322,4107429756634492820544853902032110606007608583181342084064827748621108641792,108287878255802714073627026583235371206723401386546887131136,486042270022314317263271763137033130823454154601395931578368,1.0321913453336242e-16
398,324,6053450683899794023268654320704050476026311776477817075905279492806045335552,333305318367590901580077631160589954665396203826984549089280,1457308888629933726498475117322161337469009273260701053353984,2.1100930865609804e-16
399,326,13398280664137725483537991765699654951987688113266883151899211160122434781184,982661914551613420741636297161024671763553935699178030104576,4366743089870185785111893049348548900738194849959853294616576,2.848124737623584e-16
400,326,19530491227332784746935545558911159055945427124703837412337789207631722708992,995670770863230345055051457132467007690125302697782797139968,4142421298085713057217570015406694528140530996387784530329600,1.8766846970849958e-16
401,328,43975461803250999113737167381778152957444463854307871454537333653317043093504,3040786984824727873451970424933295135279966334254310420905984,13346489852030047082924882907145955955715208082022991417835520,2.658269319942224e-16
402,334,47537772316159969085326765195606623238630953168624291759932598305179452833792,78441429206610149203758634812636772859353264332089403398684672,281031961540103426115361374511332770362497154249649542301483008,5.394243156340094e-15
403,334,100934787197086452700167162402445253101178819813412249570523541592717934985216,79553536807318927591876355599716727027348654163679107337945088,307172710961986801805005079463269587565760215136610926509162496,2.733162006344129e-15
404,334,157659152732915549946622824524664571954539674824532188316478209726587196145664,80665644408027705979994076386796681195344043995268811277205504,300443521960200615205183305056704914509789763647986008915443712,1.7243793105903874e-15
405,334,316875511749785421723887703431496972475033914298704349925901085675429811978240,81777752008736484368111797173876635363339433826858515216465920,324910239115036546430928819073498267966422267903682582925017088,9.155356665690693e-16
406,334,496458786620454326254579647087421413267634714336595498503897295102803322077184,82889859609445262756229517960956589531334823658448219155726336,443820826649967591110275550979153561460365652233433737313910784,7.568181269279491e-16
407,336,1063859563856453183992258176284950510021124433414005065117859033536456141307904,224520728820794912755123381120322164483755879018225044287389696,874376634580003517845556571197874146222543191398732757062385664,7.3684378803645605e-16
408,336,1536668988053613123777033308950341892867157410498124197306478185955623773929472,227568835467664308686396400668995619516031156045997810405867520,922447029928783960799544895973682140225339438762992281145311232,5.338584269062115e-16
409,336,3480242347023041255505102637441833093845942871414293440977759555171837808738304,230616942114533704617669420217669074548306433073770576524345344,886154220856097464183634943945416712118835501793119058180177920,2.289060658581232e-16
410,336,5064090332161287793385386260610646123086982339915556139633882563130920875851776,233665048761403100548942439766342529580581710101543342642823168,1029412624185158206696119578022014322098047551216822730495098880,1.7792263906801528e-16
411,338,11654572563726519478772311837002775105025762331488211566442931621699980810518528,730774881742649910881310710493218520514252282030268874164797440,2546160428584224623459919954569018542106503251699337671143849984,2.0057375964854253e-16
412,338,16674349549314353567123113861413239340305287302622422642814368112444708273258496,740446601366836339990874202760574808040192230211278064446341120,2921519408780810800198658362055134508149234814043849991198343168,1.5666356489793788e-16
413,338,38599205391200419432140389718947285718175328614973145056321512357783047306739712,750118320991022769100437695027931095566132178392287254727884800,3572514609750283374769104214743520215500674872979243319611621376,7.988635219891635e-17
414,338,55753466125994840266412872545063692345180676319041383551754043249219954047713280,759790040615209198210001187295287383092072126573296445009428480,3277925168678168521850877499889669714313267115556629893814943744,5.166142828360647e-17
415,338,123563607443489786384664571204722035269112376484842979744892927793306004013187072,769461760239395627319564679562643670618012074754305635290972160,3375955696152366860231931128757963193805318369109548579405430784,2.3932071415726156e-17
416,338,188039160271783683804319854138104520789712809859787329304368984135377706217897984,779133479863582056429128171829999958143952022935314825572515840,3448340019136339154251050899939574626887592441132613816146722816,1.6037445296808557e-17
417,338,419521687338831254625743797781122735826974021498135745365478264508062248088895488,788805199487768485538691664097356245669891971116324015854059520,3778138434987352264737117779462393163900306144397987353802571776,7.765578819681634e-18
418,342,619436402789203837860822099770138466548287820849257005411782881792736375817109504,7003551176941128211100032834797081328468759056559918842558545920,31744970028719216450029478034042821014286246643531850047249448960,4.462323029936905e-17
419,344,1434093568354392431645476095061785660897967227482278083547912876442860135418691584,21318959669498566378941205752946125397624613109127590843330330624,95989131444882287731930653435780287092107511731618542421920448512,5.835164140620679e-17
420,344,2099975573321217686669891160553325384398643403843294668640932883409007690179936256,21594070973396814659679892814840776749510779010231076127491751936,105328371834660951207251143009895586021254270880282072829808082944,4.311483976123978e-17
421,344,4626579331371530414892355706763028596953251217454554863096306204735585552003235840,21869182277295062940418579876735428101396944911334561411653173248,102891841457834033469487612931817179762824522772603024634265206784,1.9236298768176292e-17
422,344,7240987745528102972896925083581919349463431289505774492921304222943475254926770176,22144293581193311221157266938630079453283110812438046695814594560,88930545097429537085257447244241506240248305647230485931313070080,1.0942598786517387e-17
423,344,15563261335285059938335648349896167218690442946440452239704879295259257498985562112,22419404885091559501895954000524730805169276713541531979976015872,104562847303013666504375689738336572750883947833637181542979600384,5.820295207370408e-18
424,344,23432518575706475119886023970629243526664249675467391847988539531756566724198006784,22694516188989807782634641062419382157055442614645017264137437184,107858621180507376097627303033485423878763132000476895872353828864,3.974394199398357e-18
