i,gsa,simulator,lll,tour0,tour1,tour2,tour3,tour4,tour5,tour6,tour7
14.0,12.30473351314272,12.324119708619772,14.638711188415456,14.048998218649515,13.475305155951913,13.016571491188776,12.660431063084221,12.561086098403706,12.476093828147098,12.43738536625953,12.430540938442075
15.0,12.271968754988665,12.291210619567439,14.54788802732583,13.968845005741784,13.404326700426353,12.951243306211085,12.641871622693673,12.555662875010832,12.485007074646244,12.436129384636887,12.381577131062073
16.0,12.239203996834613,12.258305758909223,14.459803872441249,13.912212274410548,13.33235084761517,12.904162115221272,12.67972655972827,12.47889921241236,12.439912250010297,12.34905673904489,12.328207927446012
17.0,12.20643923868056,12.22540832758099,14.4617498223087,14.024628671295424,13.299412585075652,12.951547450921383,12.675801318804771,12.475435942356151,12.373080143665847,12.379620774048929,12.332443782351376
18.0,12.173674480526506,12.192524572395993,14.497376484527424,13.88807238861776,13.234317303004051,12.819150579956295,12.56423473791242,12.418045175521126,12.340379755845298,12.28774413323787,12.323526330738012
19.0,12.140909722372452,12.159655083723376,14.365558697139054,13.787841029442111,13.28772158169248,12.830688700035605,12.539071801280983,12.409926172926191,12.326033222699577,12.297393629253005,12.2501215242321
20.0,12.108144964218399,12.126796200454727,14.265121376611136,13.741654303668263,13.217469277178715,12.808598838870765,12.388647913364114,12.397330988023677,12.233646354019218,12.241203357901018,12.211444051474626
21.0,12.075380206064345,12.093953873041881,14.26999402133081,13.71936141245599,13.080272123614998,12.66635089958963,12.50133190049464,12.379941558566083,12.193940444651055,12.187029280884872,12.201580724560026
22.0,12.042615447910293,12.061126729479664,14.172648153616187,13.655267987799816,13.072627004350668,12.642789554420434,12.438256416331287,12.334785411638851,12.289926785178437,12.168747227423268,12.152792352186998
23.0,12.009850689756238,12.028313870085386,14.132861212779936,13.525832329740568,12.966296098788359,12.571217614017112,12.321518155527007,12.254200294808733,12.218878164700397,12.170985960878008,12.133052566160547
24.0,11.977085931602186,11.995511494592922,14.106935456940468,13.46383993382342,12.952492905631729,12.496705229560774,12.289251424343783,12.188203710731836,12.103242496306748,12.099927284684538,12.097246397756503
