k,alpha,k alpha,c,log(total cost),total cost,speedup,log(speedup),k pre,single enum,preprocessing cost,solutions,strategy
70,1.0,70,0.15,28.12053725089373,291826822.68187153,1.0,0.0,40,16040653.548541553,21314354.916627876,0.12800402691527488,"Strategy< 70, (40,40,40,40), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 291826822.68187153}>"
72,1.0,72,0.15,28.75986277597846,454549690.873491,1.0,0.0,40,19568034.936938442,22066996.77109205,0.09159621608810695,"Strategy< 72, (40,40,40,40), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 454549690.873491}>"
74,1.0,74,0.15,29.48998921015304,753999962.1405737,1.0,0.0,40,23290196.30998429,23199709.55278831,0.06165770317917487,"Strategy< 74, (40,40,40,40), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 753999962.1405737}>"
76,1.0,76,0.15,30.268911311171117,1293749636.429578,1.0,0.0,40,28520012.56408985,23957421.407252483,0.04056227920277279,"Strategy< 76, (40,40,40,40), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1293749636.429578}>"
78,1.0,78,0.15,31.093938347772763,2291965763.424458,1.0,0.0,46,112823800.11974405,151568309.38271806,0.11535604663981984,"Strategy< 78, (46,46,46,46), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 2291965763.424458}>"
80,1.0,80,0.15,31.733167373976432,3569728914.384094,1.0,0.0,46,134881538.07213742,157732644.64079115,0.08197098147533002,"Strategy< 80, (46,46,46,46), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 3569728914.384094}>"
82,1.0,82,0.15,32.45864693342193,5902368846.538832,1.0,0.0,46,163746523.49103943,166983302.5279008,0.05603340533570369,"Strategy< 82, (46,46,46,46), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 5902368846.538832}>"
84,1.0,84,0.15,33.22060471739369,10009179875.102478,1.0,0.0,46,187293067.86064214,173153247.78597388,0.03601157339006515,"Strategy< 84, (46,46,46,46), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 10009179875.102478}>"
86,1.0,86,0.15,34.00639141048451,17256148077.167038,1.0,0.0,48,279251796.971428,237702797.02377537,0.029957705026837745,"Strategy< 86, (48,48,48,48), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 17256148077.167038}>"
88,1.0,88,0.15,34.896154558496875,31973431990.678818,1.0,0.0,48,288118687.8485831,250277525.37670395,0.016838862133481486,"Strategy< 88, (48,48,48,48), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 31973431990.678818}>"
90,1.0,90,0.15,35.793761070758954,59565630060.17077,1.0,0.0,48,349434590.8134928,258663727.61198965,0.0102088791440837,"Strategy< 90, (48,48,48,48), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 59565630060.17077}>"
92,1.0,92,0.15,36.74293152893978,115007064607.42311,1.0,0.0,48,404391790.670701,267052425.84727535,0.005838286707081454,"Strategy< 92, (48,48,48,48), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 115007064607.42311}>"
94,1.0,94,0.15,37.83692562780099,245498904037.8123,1.0,0.0,48,533340293.224922,279640258.2002037,0.0033115445244509467,"Strategy< 94, (48,48,48,48), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 245498904037.8123}>"
96,1.0,96,0.15,38.935397966853365,525681485136.3152,1.0,0.0,48,635575717.2633094,288035406.4354895,0.001756978607415279,"Strategy< 96, (48,48,48,48), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 525681485136.3152}>"
98,1.0,98,0.15,40.02056563574609,1115297425762.0168,1.0,0.0,66,23107846450.130817,24166301236.473896,0.04238703201014302,"Strategy< 98, (66,66,66,66), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1115297425762.0168}>"
100,1.0,100,0.15,40.80725824834933,1924016417663.7263,1.0,0.0,66,27200086098.03456,25169183604.590252,0.027218722887102597,"Strategy<100, (66,66,66,66), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1924016417663.7263}>"
102,1.0,102,0.15,41.64395437769089,3436207692592.282,1.0,0.0,66,31554561865.835545,26673512346.764786,0.01694544667312381,"Strategy<102, (66,66,66,66), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 3436207692592.282}>"
104,1.0,104,0.15,42.49861397890408,6213804450258.256,1.0,0.0,70,66099793265.21074,57081693885.311165,0.01982384353041594,"Strategy<104, (70,70,70,70), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 6213804450258.256}>"
106,1.0,106,0.15,43.36890726533575,11359048818308.148,1.0,0.0,70,75088477538.84964,59416396314.766136,0.011841209242522592,"Strategy<106, (70,70,70,70), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 11359048818308.148}>"
108,1.0,108,0.15,44.24000353688121,20776293551625.805,1.0,0.0,72,124548394989.37865,93498873803.39691,0.010495003271443128,"Strategy<108, (72,72,72,72), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 20776293551625.805}>"
110,1.0,110,0.15,45.18644747184326,40038342148198.82,1.0,0.0,72,148447269823.6193,97135366588.38483,0.00613368644243558,"Strategy<110, (72,72,72,72), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 40038342148198.82}>"
112,1.0,112,0.15,46.12801171693909,76898021695455.39,1.0,0.0,76,337389048131.24286,254488674811.47412,0.007696917422489381,"Strategy<112, (76,76,76,76), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 76898021695455.39}>"
114,1.0,114,0.15,47.03650397891185,144343951044997.94,1.0,0.0,80,820123479773.2919,686932637587.8956,0.010440729288970179,"Strategy<114, (80,80,80,80), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 144343951044997.94}>"
116,1.0,116,0.15,47.949809697585835,271851044109095.4,1.0,0.0,80,988869530990.5216,715490575038.9684,0.006269463159926361,"Strategy<116, (80,80,80,80), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 271851044109095.4}>"
118,1.0,118,0.15,48.92901213417802,535920426731984.25,1.0,0.0,80,1104739768563.9932,744048515706.0411,0.0034497440143191633,"Strategy<118, (80,80,80,80), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 535920426731984.25}>"
120,1.0,120,0.15,49.8806879726038,1036533360078222.5,1.0,0.0,86,4202154468691.4673,3222194543664.278,0.007162672518128566,"Strategy<120, (86,86,86,86), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1036533360078222.5}>"
122,1.0,122,0.15,50.821046105544156,1989112235241082.5,1.0,0.0,84,3286394841105.009,2077365050702.0845,0.0026965596997381093,"Strategy<122, (84,84,84,84), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1989112235241082.5}>"
124,1.0,124,0.15,51.8264513702636,3993157418078008.5,1.0,0.0,86,5663390004307.353,3567317801342.6177,0.002311631333105046,"Strategy<124, (86,86,86,86), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 3993157418078008.5}>"
126,1.0,126,0.15,52.8277969190237,7993766853712040.0,1.0,0.0,88,10295830110579.123,6420486807270.182,0.0020911689349667234,"Strategy<126, (88,88,88,88), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 7993766853712040.0}>"
128,1.0,128,0.15,53.85497122464899,1.629152556440867e+16,1.0,0.0,90,19621461398034.895,12128729086642.992,0.00194887767625894,"Strategy<128, (90,90,90,90), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1.629152556440867e+16}>"
130,1.0,130,0.15,54.8516969692326,3.250918641250088e+16,1.0,0.0,90,21972425723617.484,12605254260332.36,0.0010636279710357058,"Strategy<130, (90,90,90,90), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 3.250918641250088e+16}>"
132,1.0,132,0.15,55.87808868027153,6.6218721753043864e+16,1.0,0.0,92,42193546519978.39,24188717049576.145,0.0010024697217370126,"Strategy<132, (92,92,92,92), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 6.6218721753043864e+16}>"
134,1.0,134,0.15,56.74741519750012,1.2096901679967784e+17,1.0,0.0,106,2395113298770911.5,1808785293216159.5,0.0347518621148144,"Strategy<134, (106,106,106,106), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1.2096901679967784e+17}>"
136,1.0,136,0.15,57.88131416480331,2.654677396864876e+17,1.0,0.0,100,499125107001451.8,372592990500406.4,0.0032837063310643348,"Strategy<136, (100,100,100,100), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 2.654677396864876e+17}>"
138,1.0,138,0.15,58.56564160059239,4.2659409256384525e+17,1.0,0.0,106,818478227318505.0,1990530074604893.5,0.006584733241478244,"Strategy<138, (106,106,106,106), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 4.2659409256384525e+17}>"
140,1.0,140,0.15,59.23660030726299,6.791935198026683e+17,1.0,0.0,104,801303755841434.1,1188238109590915.5,0.0029292709771588923,"Strategy<140, (104,104,104,104), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 6.791935198026683e+17}>"
142,1.0,142,0.15,60.10796491508992,1.2425115021356984e+18,1.0,0.0,108,2243826226306393.5,3807337120379399.5,0.004870106503066342,"Strategy<142, (108,108,108,108), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 1.2425115021356984e+18}>"
144,1.0,144,0.15,61.677734934770115,3.6884871940094756e+18,1.0,0.0,106,1049047818450118.5,2308583442072131.0,0.000910300370833719,"Strategy<144, (106,106,106,106), 1.00-1.00, {'alpha': 1.0, 'c': 0.15, 'total_cost': 3.6884871940094756e+18}>"
